City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sokoni,TZ,2022-04-25 21:19:12,-6.4333,39.55,81.5,79,63,9.69
1,Ilhabela,BR,2022-04-25 21:19:12,-23.7781,-45.3581,73.63,87,56,11.61
2,Am Timan,TD,2022-04-25 21:19:13,11.0297,20.2827,86.76,40,79,1.36
3,Kapaa,US,2022-04-25 21:16:34,22.0752,-159.319,80.58,76,75,17.27
4,Castro,BR,2022-04-25 21:19:13,-24.7911,-50.0119,64.54,80,0,2.48
5,Carnarvon,AU,2022-04-25 21:19:13,-24.8667,113.6333,64.47,94,40,8.05
6,Ushuaia,AR,2022-04-25 21:19:14,-54.8,-68.3,42.46,70,75,17.27
7,Chenzhou,CN,2022-04-25 21:19:14,25.8,113.0333,70.56,97,19,4.21
8,Comodoro Rivadavia,AR,2022-04-25 21:19:14,-45.8667,-67.5,57.06,41,0,8.05
9,Cidreira,BR,2022-04-25 21:19:15,-30.1811,-50.2056,72.81,80,88,12.91
10,Hobart,AU,2022-04-25 21:19:15,-42.8794,147.3294,49.26,94,20,6.91
11,Shenzhen,CN,2022-04-25 21:16:13,22.5455,114.0683,81.21,96,7,5.64
12,Morondava,MG,2022-04-25 21:19:15,-20.2833,44.2833,82.17,75,90,8.55
13,Balabac,PH,2022-04-25 21:19:16,7.9868,117.0645,80.19,83,86,3.78
14,Takoradi,GH,2022-04-25 21:19:16,4.8845,-1.7554,79.92,87,16,6.13
15,Busselton,AU,2022-04-25 21:16:37,-33.65,115.3333,61.81,66,97,17.09
16,Alice Springs,AU,2022-04-25 21:19:16,-23.7,133.8833,51.35,100,80,0.0
17,Jamestown,US,2022-04-25 21:14:53,42.097,-79.2353,80.24,41,20,12.66
18,Victoria,HK,2022-04-25 21:15:54,22.2855,114.1577,81.32,86,10,4.0
19,Lompoc,US,2022-04-25 21:19:17,34.6391,-120.4579,88.79,58,0,16.11
20,Honningsvag,NO,2022-04-25 21:19:17,70.9821,25.9704,28.15,59,75,26.46
21,Chuy,UY,2022-04-25 21:19:17,-33.6971,-53.4616,65.52,97,100,7.4
22,Vaini,TO,2022-04-25 21:15:25,-21.2,-175.2,72.28,87,100,7.11
23,Atuona,PF,2022-04-25 21:19:18,-9.8,-139.0333,78.28,79,24,16.06
24,Tasiilaq,GL,2022-04-25 21:18:34,65.6145,-37.6368,32.16,96,100,8.41
25,Faanui,PF,2022-04-25 21:19:18,-16.4833,-151.75,81.39,72,10,10.47
26,Ribeira Grande,PT,2022-04-25 21:15:26,38.5167,-28.7,58.98,67,82,9.57
27,Avarua,CK,2022-04-25 21:16:35,-21.2078,-159.775,82.45,78,20,9.22
28,Mahibadhoo,MV,2022-04-25 21:19:19,3.7833,72.9667,84.04,67,37,2.46
